Title Goodnet Karen Canerie Intranetwork Internode Columbus Oteglobe
"no_paths" 0.093580961 0.411942005 0.641241074 0.712487936 1.610786915 3.627218008 5.414367914
"1edge" 0.197937965 0.737737894 1.31023097 3.254351139 10.849396944 12.16602087 15.610732079
"2edge" 0.327783823 0.964764118 2.169964075 4.491367817 8.028675079 12.604964018 16.003055096
"3edge" 0.424980164 1.289219141 2.770685911 4.341474056 16.7488451 13.602252007 21.350503922
"4edge" 0.408353806 1.456340075 3.531975985 3.533600092 10.956043959 16.024953842 28.850288153
"5edge" 0.397424936 1.770996094 3.950725079 3.876494169 10.849867105 19.1097579 31.655040026
"1allstar" 2.054858923 11.027695894 29.771226883 111.781941891 421.937519073 976.009361029 1392.56058502
"2allstar" 4.493327856 31.305459023 90.071403027 421.054977179 1074.17043495 2400.12561321 3923.2350471
"3allstar" 7.335760832 54.146548986 163.508323908 628.721115112 1116.90496516 3578.64128494 5853.00476599
"4allstar" 10.991197824 80.098415136 213.360049009 586.712659121 1508.23294306 4714.09263587 8141.5159142
"5allstar" 12.837744951 101.003334045 277.201184988 574.70342207 1707.77833319 6032.847368 10633.983876
"nestedstar" 5.309473991 30.241252899 51.376443148 111.928662062 230.626663208 801.021408796 1221.095644
"node4or5" 3.059621096 18.882750988 30.033452988 65.578583002 104.020886898 417.646548986 550.000340939
"path_123_456_789_101112" 2.82655406 14.178691149 28.027565002 65.439828157 145.53643322 497.650219917 778.62932992
